country,continent,date,new_vaccinations,total_vaccinations,people_fully_vaccinated,vaccine_used,population,population_density,gdp_per_capita,human_development_index
Denmark,Europe,2021-02-12,19110,390631,166642,Moderna,5792203,136.52,46682.515,0.94
Denmark,Europe,2021-02-13,7439,398070,167539,Moderna,5792203,136.52,46682.515,0.94
Denmark,Europe,2021-02-14,6745,404815,168170,Moderna,5792203,136.52,46682.515,0.94
Denmark,Europe,2021-02-15,17012,421827,171527,Moderna,5792203,136.52,46682.515,0.94
Denmark,Europe,2021-02-16,,,,Moderna,5792203,136.52,46682.515,0.94
Djibouti,Africa,2021-02-10,,,,,988002,41.285,2705.406,0.524
Djibouti,Africa,2021-02-11,,,,,988002,41.285,2705.406,0.524
Djibouti,Africa,2021-02-12,,,,,988002,41.285,2705.406,0.524
Djibouti,Africa,2021-02-13,,,,,988002,41.285,2705.406,0.524
Djibouti,Africa,2021-02-14,,,,,988002,41.285,2705.406,0.524
Djibouti,Africa,2021-02-15,,,,,988002,41.285,2705.406,0.524
Djibouti,Africa,2021-02-16,,,,,988002,41.285,2705.406,0.524
Dominica,North America,2021-02-10,,,,,71991,98.567,9673.367,0.742
Dominica,North America,2021-02-11,,,,,71991,98.567,9673.367,0.742
Dominica,North America,2021-02-12,,,,,71991,98.567,9673.367,0.742
Dominica,North America,2021-02-13,,,,,71991,98.567,9673.367,0.742
Dominica,North America,2021-02-14,,,,,71991,98.567,9673.367,0.742
Dominica,North America,2021-02-15,,,,,71991,98.567,9673.367,0.742
Dominica,North America,2021-02-16,,,,,71991,98.567,9673.367,0.742
Dominican Republic,North America,2021-02-10,,,,,10847904,222.873,14600.861,0.756
Dominican Republic,North America,2021-02-11,,,,,10847904,222.873,14600.861,0.756
Dominican Republic,North America,2021-02-12,,,,,10847904,222.873,14600.861,0.756
Dominican Republic,North America,2021-02-13,,,,,10847904,222.873,14600.861,0.756
Dominican Republic,North America,2021-02-14,,,,,10847904,222.873,14600.861,0.756
Dominican Republic,North America,2021-02-15,,,,,10847904,222.873,14600.861,0.756
